evaluation_suite,example_id,inputs.question,case_type_codes,difficulty,inference_type,error,execution_time,outputs.is_sufficient,outputs.party_type,outputs.location,outputs.retrieval_query,outputs.missing_fields,outputs.follow_up_questions,outputs.search_metadata,reference.expected_is_sufficient,reference.expected_party_type,reference.expected_location,reference.expected_missing_fields,reference.expected_follow_up_questions_contain,reference.forbidden_filters,feedback.intake_is_sufficient,feedback.party_type_match,feedback.location_match,feedback.missing_fields_match,feedback.follow_up_contains,feedback.forbidden_filter_absent,feedback.intake_overall
intake,intake_001,보행자가 신호등 있는 횡단보도 안에서 제 차와 부딪혔어요.,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_CROSSWALK_IN"", ""INTAKE_FULL""]",easy,explicit_keyword,,6.6109212820010725,True,보행자,횡단보도 내,"신호등 있는 횡단보도, 보행자 대 자동차 사고",[],[],"{""party_type"": ""보행자"", ""location"": ""횡단보도 내"", ""retrieval_query"": ""신호등 있는 횡단보도, 보행자 대 자동차 사고"", ""query_slots"": {""road_control"": ""양쪽 신호등"", ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,보행자,횡단보도 내,[],[],[],1,1,1,1,1,1,1.0
intake,intake_002,횡단보도 바로 옆에서 길 건너던 사람이랑 접촉사고가 났습니다.,"[""CLARITY_SYNONYM"", ""META_PARTY"", ""META_CROSSWALK_NEAR"", ""INTAKE_FULL""]",medium,synonym,,6.10900132900133,True,보행자,횡단보도 부근,"횡단보도 부근, 보행자 접촉사고",[],[],"{""party_type"": ""보행자"", ""location"": ""횡단보도 부근"", ""retrieval_query"": ""횡단보도 부근, 보행자 접촉사고"", ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,보행자,횡단보도 부근,[],[],[],1,1,1,1,1,1,1.0
intake,intake_003,사람이 길 건너다가 제 차랑 부딪혔는데 주변에 횡단보도는 없었어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_NO_CROSSWALK"", ""INTAKE_FULL""]",medium,implicit_metadata,,5.6937644879944855,True,보행자,횡단보도 없음,"보행자 대 자동차 사고, 횡단보도 없음",[],[],"{""party_type"": ""보행자"", ""location"": ""횡단보도 없음"", ""retrieval_query"": ""보행자 대 자동차 사고, 횡단보도 없음"", ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,보행자,횡단보도 없음,[],[],[],1,1,1,1,1,1,1.0
intake,intake_004,골목 사거리에서 오른쪽에서 나오던 차랑 박았어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_INTERSECTION"", ""INTAKE_FULL""]",medium,implicit_metadata,,5.16706199899636,True,자동차,교차로 사고,"상대차량이 측면에서 진입, 오른쪽 도로",[],[],"{""party_type"": ""자동차"", ""location"": ""교차로 사고"", ""retrieval_query"": ""상대차량이 측면에서 진입, 오른쪽 도로"", ""query_slots"": {""road_control"": null, ""relation"": ""상대차량이 측면에서 진입"", ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": ""오른쪽 도로"", ""special_condition"": null}}",True,자동차,교차로 사고,[],[],[],1,1,1,1,1,1,1.0
intake,intake_005,앞차가 갑자기 멈춰서 제가 뒤에서 박았습니다.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_SAME_DIRECTION"", ""INTAKE_FULL""]",medium,implicit_metadata,,8.789186649002659,False,자동차,,"추돌사고, 자동차 대 자동차 사고, 추돌","[""location""]","[""사고가 발생한 장소는 어디인가요?"", ""앞차가 멈춘 이유를 알고 계신가요?""]","{""party_type"": ""자동차"", ""location"": null, ""retrieval_query"": ""추돌사고, 자동차 대 자동차 사고, 추돌"", ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": ""추돌"", ""road_priority"": null, ""special_condition"": null}}",True,자동차,같은 방향 진행차량 상호간의 사고,[],[],[],0,1,0,0,1,1,0.5
intake,intake_006,자전거랑 부딪혔는데 과실이 궁금해요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,incomplete,,12.84329803899891,False,자전거,,,"[""location""]","[""사고가 발생한 장소는 어디인가요?"", ""횡단보도 내, 부근, 또는 없음 중 어떤 경우인지 알려주세요.""]","{""party_type"": ""자전거"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,자전거,,"[""location""]","[""사고 상황"", ""교차로""]","[{""location"": ""교차로 사고""}]",1,1,1,1,0,1,0.8333333333333334
intake,intake_007,보행자랑 사고났어요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,incomplete,,16.439399794995552,False,보행자,,,"[""location""]","[""사고가 발생한 장소는 어디인가요? (횡단보도 내, 횡단보도 부근, 횡단보도 없음 등)""]","{""party_type"": ""보행자"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,보행자,,"[""location""]","[""횡단보도"", ""사고 상황""]","[{""location"": ""횡단보도 내""}]",1,1,1,1,0,1,0.8333333333333334
intake,intake_008,자동차끼리 사고가 났는데 기준 찾아주세요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,incomplete,,14.128131123005005,False,자동차,,,"[""location""]","[""사고가 발생한 장소는 어디인가요?"", ""사고의 구체적인 상황을 설명해 주실 수 있나요?""]","{""party_type"": ""자동차"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,자동차,,"[""location""]","[""사고 상황"", ""같은 방향""]","[{""location"": ""교차로 사고""}]",1,1,1,1,0,1,0.8333333333333334
intake,intake_009,상대 차가 제 차선으로 넘어와 정면으로 부딪혔어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_OPPOSITE_DIRECTION"", ""INTAKE_FULL""]",medium,implicit_metadata,,13.324091228001635,True,자동차,마주보는 방향 진행차량 상호 간의 사고,"중앙선 침범, 직진 대 직진 사고, 상대차량이 맞은편에서 진입, 정면충돌",[],[],"{""party_type"": ""자동차"", ""location"": ""마주보는 방향 진행차량 상호 간의 사고"", ""retrieval_query"": ""중앙선 침범, 직진 대 직진 사고, 상대차량이 맞은편에서 진입, 정면충돌"", ""query_slots"": {""road_control"": null, ""relation"": ""상대차량이 맞은편에서 진입"", ""a_signal"": null, ""b_signal"": null, ""a_movement"": ""직진"", ""b_movement"": ""직진"", ""road_priority"": null, ""special_condition"": ""중앙선 침범""}}",True,자동차,마주보는 방향 진행차량 상호 간의 사고,[],[],[],1,1,1,1,1,1,1.0
intake,intake_010,신호 없는 교차로에서 충돌했습니다.,"[""CLARITY_EXPLICIT"", ""META_LOCATION"", ""META_INTERSECTION"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,explicit_keyword,,78.7238457919957,False,,교차로 사고,신호등 없음,"[""party_type""]","[""사고에 관련된 차량의 종류는 무엇인가요? (보행자, 자동차, 자전거 중 선택)""]","{""party_type"": null, ""location"": ""교차로 사고"", ""retrieval_query"": ""신호등 없음"", ""query_slots"": {""road_control"": ""신호등 없음"", ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,,교차로 사고,"[""party_type""]","[""상대"", ""보행자""]","[{""party_type"": ""자동차""}]",1,1,1,1,0,1,0.8333333333333334
